episode - ,0,reward = ,-259614
episode - ,0,reward = ,-248857
episode - ,0,reward = ,-107109
episode - ,0,reward = ,-103967
episode - ,1,reward = ,-114974
episode - ,2,reward = ,-125931
episode - ,3,reward = ,-198901
episode - ,4,reward = ,-123200
episode - ,5,reward = ,-144372
episode - ,6,reward = ,-77501
episode - ,7,reward = ,-92057
episode - ,8,reward = ,-99264
episode - ,9,reward = ,-72719
episode - ,10,reward = ,-73291
episode - ,11,reward = ,-81688
episode - ,12,reward = ,-162289
episode - ,13,reward = ,-91293
episode - ,14,reward = ,-60537
episode - ,15,reward = ,-63251
episode - ,16,reward = ,-75132
episode - ,17,reward = ,-62634
episode - ,18,reward = ,-67282
episode - ,19,reward = ,-71610
episode - ,20,reward = ,-58471
episode - ,21,reward = ,-69436
episode - ,22,reward = ,-53057
episode - ,23,reward = ,-56697
episode - ,24,reward = ,-64182
episode - ,25,reward = ,-82806
episode - ,26,reward = ,-59872
episode - ,27,reward = ,-63243
episode - ,28,reward = ,-54014
episode - ,29,reward = ,-88983
episode - ,30,reward = ,-69768
episode - ,31,reward = ,-115513
episode - ,32,reward = ,-121874
episode - ,33,reward = ,-126162
episode - ,34,reward = ,-123367
episode - ,35,reward = ,-142734
episode - ,36,reward = ,-147024
episode - ,37,reward = ,-105766
episode - ,38,reward = ,-133983
episode - ,39,reward = ,-97333
episode - ,40,reward = ,-113205
episode - ,41,reward = ,-206660
episode - ,42,reward = ,-159384
episode - ,43,reward = ,-112195
episode - ,44,reward = ,-130284
episode - ,45,reward = ,-123426
episode - ,46,reward = ,-113509
episode - ,47,reward = ,-144401
episode - ,48,reward = ,-130548
episode - ,49,reward = ,-124320
episode - ,50,reward = ,-148431
episode - ,51,reward = ,-129524
episode - ,52,reward = ,-103352
episode - ,53,reward = ,-148997
episode - ,54,reward = ,-118446
episode - ,55,reward = ,-127828
episode - ,56,reward = ,-140874
episode - ,57,reward = ,-123395
episode - ,58,reward = ,-147045
episode - ,59,reward = ,-154789
episode - ,60,reward = ,-186249
episode - ,61,reward = ,-198931
episode - ,62,reward = ,-141642
episode - ,63,reward = ,-181042
episode - ,64,reward = ,-182067
episode - ,65,reward = ,-170550
episode - ,66,reward = ,-160742
episode - ,67,reward = ,-136113
episode - ,68,reward = ,-152330
episode - ,69,reward = ,-166685
episode - ,70,reward = ,-155800
episode - ,71,reward = ,-207020
episode - ,72,reward = ,-133645
episode - ,73,reward = ,-158723
episode - ,74,reward = ,-136163
episode - ,75,reward = ,-127044
episode - ,76,reward = ,-114288
episode - ,0,reward = ,-91243
episode - ,1,reward = ,-74105
